"website","product_name","product_url","review_header","review_text","review_rating"
"probikeshop.fr","Éclairage Arrière BBB SIGNAL BLS-82","https://www.probikeshop.fr/eclairage-arriere-bbb-signal-i-bls-82/103965.html","Efficace","Utilisé pour mon velotaf, fixation adaptée à toutes les formes de cadres.
Mode clignotant très efficace!","4"
"probikeshop.fr","Éclairages Avant et Arrière BBB SIGNALCOMBO BLS-83","https://www.probikeshop.fr/eclairages-avant-et-arriere-bbb-signalcombo-bls-83/112538.html","","C'est le deuxième éclairage que j'achète et j'ai l'autre depuis une année. Conforme à la descrption. Les lanières en caoutchouc sont trop courtes pour le guidon et j'ai bricoler des ralonges avec de l'élastique de récuperation et maitenant c'est super nickel !","5"
"probikeshop.fr","Éclairage Arrière BBB SPY 15 USB BLS-126","https://www.probikeshop.fr/eclairage-arriere-spy-aa5-usb-bls-aa26/139955.html","Efficace et discret à la fois","J'ai testé le produit lors de mes 5 dernières sortie et il me semble assez efficace pour me signaler auprès des automobilistes et de plus il ne perturbe pas mes coéquipiers qui me suivent.","4"
"probikeshop.fr","Éclairage Arrière BBB SIGNAL BLS-82","https://www.probikeshop.fr/eclairage-arriere-bbb-signal-i-bls-82/103965.html","Excellent","Très satisfait de cet achat... Lampe petite et très efficace et chargement par USB... Pour la durée de vie de la batterie, on verra...","5"
"probikeshop.fr","Embout de Pompe BBB DUALHEAD BFP-93 Presta/Schrader/Dunlop","https://www.probikeshop.fr/bbb-tete-pour-pompe-bbb-dualhead-bfp-93-double-valve/93877.html","Très bien","Acheté pour remplacer l'embout fatigué de ma pompe Giyo Air Supply. L'embout BBB s'adapte facilement.
Essayé sur valves presta et schrader, fonctionne nickel.","5"
"probikeshop.fr","Embout de Pompe BBB AIRPIPE BFP-94 90° Presta","https://www.probikeshop.fr/tete-de-valve-9-bbb-airpipe-bfp-94/103931.html","Répond parfaitement à mon besoin.","Idéal pour le gonflage d'une roue pleine. Permet d'atteindre la pression maximale du pneus. S'adapte très bien sur ma pompe à pied.","5"
"probikeshop.fr","Brosse de Nettoyage pour Cassette BBB TOOTHBRUSH BTL-17","https://www.probikeshop.fr/brosse-de-nettoyage-cassette-bbb-toothbrush-btl-17/93887.html","","Brosse de piètre qualité, perd ses poils après 3 utilisations même à ce prix là ça reste chère pour la durée de vie","2"
"probikeshop.fr","Support de Cartouches CO2 BBB CO2HOLD BBC-90","https://www.probikeshop.fr/bbb-support-cartouche-co2-co2hold-bbc-90/93844.html","Perfecto todo bien","Se ajusta a lo marcado. Bien envalado. Y buena calidad","5"
"probikeshop.fr","Éclairage Avant BBB SIGNAL BLS-81","https://www.probikeshop.fr/eclairage-avant-bbb-signal-i-bls-8aa/103964.html","Kein Blinkmodus!!!","Die Lampe ist seit einiger Zeit im Einsatz und aus meiner Sicht nicht besonders toll. Die Ausleuchtung der Straße ist bei Dunkelheit nur im Strong-Modus gut. Die Konsequenz ist eine verkürzte Akkulaufzeit. Den angegebenen Blinkmodus gibt es nicht, was wirklich schade ist. Dann hatte ich es bereits zweimal, dass unerwartet die Akkus leer sind. Einmal bedingt durch unbeabsichtigtes Einschalten in der Tasche.
Wesentliche Pluspunkte sind allerdings die sehr kompakte Bauweise und die Aufladung über Micro-USB.","3"
"probikeshop.fr","Embout de Pompe BBB DUALHEAD BFP-93 Presta/Schrader/Dunlop","https://www.probikeshop.fr/bbb-tete-pour-pompe-bbb-dualhead-bfp-93-double-valve/93877.html","Très bien","Fonctionne bien et s’adapte très bien aux différents embouts, rien n’a redire !","5"
"probikeshop.fr","Embout de Pompe BBB DUALHEAD BFP-93 Presta/Schrader/Dunlop","https://www.probikeshop.fr/bbb-tete-pour-pompe-bbb-dualhead-bfp-93-double-valve/93877.html","Très satisfaite de l embout de pompe","L embout s est très bien adapté sur ma pompe d une marque différente. En lisant les commentaires des autres clients j ai tente l achat n en trouvant pas ds les magasins de proximité et je suis vraiment satisfaite de mon achat","5"
"probikeshop.fr","Éclairages Avant et Arrière BBB ECOCOMBO BLS-76","https://www.probikeshop.fr/bbb-eclairages-avant-et-arriere-ecocombo-bls-76/93861.html","feu avant","Pas du tout content de l'article. Un faux contact éteint la lampe sur les bosses","1"
"probikeshop.fr","Embout de Pompe BBB AIRPIPE BFP-94 90° Presta","https://www.probikeshop.fr/tete-de-valve-9-bbb-airpipe-bfp-94/103931.html","Pas étanche","J'ai acheté cet embout pour pouvoir gonfler ma lenticulaire. L'embout ne se visse pas mais se pousse seulement, par conséquent l'étanchéité n'est pas assurée. J'arrive à peu près à gonfler en maintenant l'embout manuellement, mais pas à plus de 6bar et ça n'est vraiment pas pratique!","1"
"probikeshop.fr","Éclairages Avant et Arrière BBB COMBILASER BLS-79","https://www.probikeshop.fr/bbb-eclairage-avant-et-arriere-combilaser-bls-79-noir/93862.html","Très bien","J'utise la même lampe AV BBB tous les jours depuis 4 ans. J'en suis très satisfait. Longue autonomie en mode intermitant, puissant & fiable. J'ai racheté la même pour un autre vélo.","5"
"probikeshop.fr","Éclairage Arrière BBB HIGHLASER BLS-80","https://www.probikeshop.fr/eclairage-arriere-bbb-highlaser-bls-8/112543.html","ce qu'il faut","lampe avec 3 leds disont anciennes génération avec une cellule grossissante qui projette un cercle rouge avec sa zone d'ombre au milieu donc pas d'effet laser plutot anti éblouissement  . je cherchais une lampe plutot pour le brouillard matinale que l'eclairage de position ,sa cellule grossissante optimise bien l'eclairage.2 positions ,fixe et un clignotant .ce qu'il faut pour ètre vu.","4"
"probikeshop.fr","Éclairage Avant BBB SCOPE 1500","https://www.probikeshop.fr/eclairage-avant-bbb-scope-1500/132468.html","Le jour la nuit !","Très légère, ne se sent pas sur le casque. La puissance est parfaite et avec les différents modes, l'autonomie est top. Je roule en Vtt sur les sentiers enduro en toute confiance de nuit. 
En plus, la livraison est très rapide.","5"
